LDAP_CODE,부서1,부서2,부서3,부서4,부서5,부서6,공무원_종류,직급,정원수
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,공업·보건 또는 시설사무관,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,공업·보건 또는 시설주사,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,운전주사,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정 또는 전산주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정 또는 전산주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,공업·보건 또는 시설주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,공업·보건 또는 시설주사보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·직업상담 또는 전산서기,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정 또는 사서서기,1
